Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Strategic vaccine stockpiles for regional epidemics of emerging viruses: A geospatial modeling framework.,Carlson CJ; Garnier R; Tiu A; Luby SP; Bansal S,"Multinational epidemics of emerging infectious diseases are increasingly common, due to anthropogenic pressure on ecosystems and the growing connectivity of human populations. Early and efficient vaccination can contain outbreaks and prevent mass mortality, but optimal vaccine stockpiling strategies are dependent on pathogen characteristics, reservoir ecology, and epidemic dynamics. Here, we model major regional outbreaks of Nipah virus and Middle East respiratory syndrome, and use these to develop a generalized framework for estimating vaccine stockpile needs based on spillover geography, spatially-heterogeneous healthcare capacity and spatially-distributed human mobility networks. Because outbreak sizes were highly skewed, we found that most outbreaks were readily contained (median stockpile estimate for MERS-CoV: 2,089 doses; Nipah: 1,882 doses), but the maximum estimated stockpile need in a highly unlikely large outbreak scenario was 2-3 orders of magnitude higher (MERS-CoV: ∼87,000 doses; Nipah ∼ 1.1 million doses). Sensitivity analysis revealed that stockpile needs were more dependent on basic epidemiological parameters (i.e., death and recovery rate) and healthcare availability than any uncertainty related to vaccine efficacy or deployment strategy. Our results highlight the value of descriptive epidemiology for real-world modeling applications, and suggest that stockpile allocation should consider ecological, epidemiological, and social dimensions of risk.",2024,Oct,Vaccine,42,23,126051,,10.1016/j.vaccine.2024.06.019,38902187,#3028,Carlson 2024,"",""
Mathematically modeling spillovers of an emerging infectious zoonosis with an intermediate host.,Royce K; Fu F,"Modeling the behavior of zoonotic pandemic threats is a key component of their control. Many emerging zoonoses, such as SARS, Nipah, and Hendra, mutated from their wild type while circulating in an intermediate host population, usually a domestic species, to become more transmissible among humans, and this transmission route will only become more likely as agriculture and trade intensifies around the world. Passage through an intermediate host enables many otherwise rare diseases to become better adapted to humans, and so understanding this process with accurate mathematical models is necessary to prevent epidemics of emerging zoonoses, guide policy interventions in public health, and predict the behavior of an epidemic. In this paper, we account for a zoonotic disease mutating in an intermediate host by introducing a new mathematical model for disease transmission among three species. We present a model of these disease dynamics, including the equilibria of the system and the basic reproductive number of the pathogen, finding that in the presence of biologically realistic interspecies transmission parameters, a zoonotic disease with the capacity to mutate in an intermediate host population can establish itself in humans even if its R0 in humans is less than 1. This result and model can be used to predict the behavior of any zoonosis with an intermediate host and assist efforts to protect public health.",2020,,PLoS One,15,8,e0237780,,10.1371/journal.pone.0237780,32845922,#3048,Royce 2020,Tristan Naidoo (2024-11-27 20:02:18)(Select): General model - should this be considered for Nipah?  ; ,""
A Framework to Monitor Changes in Transmission and Epidemiology of Emerging Pathogens: Lessons From Nipah Virus.,Nikolay B; Salje H; Khan AKMD; Sazzad HMS; Satter SM; Rahman M; Doan S; Knust B; Flora MS; Luby SP; Cauchemez S; Gurley ES,"It is of uttermost importance that the global health community develops the surveillance capability to effectively monitor emerging zoonotic pathogens that constitute a major and evolving threat for human health. In this study, we propose a comprehensive framework to measure changes in (1) spillover risk, (2) interhuman transmission, and (3) morbidity/mortality associated with infections based on 6 epidemiological key indicators derived from routine surveillance. We demonstrate the indicators' value for the retrospective or real-time assessment of changes in transmission and epidemiological characteristics using data collected through a long-standing, systematic, hospital-based surveillance system for Nipah virus in Bangladesh. We show that although interhuman transmission and morbidity/mortality indicators were stable, the number and geographic extent of spillovers varied significantly over time. This combination of systematic surveillance and active tracking of transmission and epidemiological indicators should be applied to other high-risk emerging pathogens to prevent public health emergencies.",2020,May,J Infect Dis,221,Suppl 4,S363-S369,,10.1093/infdis/jiaa074,32392322,#3051,Nikolay 2020,Christian Morgenstern (2024-10-27 22:42:45)(Select): capture params from SI; ,""
"Clinical Manifestations of Nipah Virus-Infected Patients Who Presented to the Emergency Department During an Outbreak in Kerala State in India, May 2018.",Chandni R; Renjith TP; Fazal A; Yoosef N; Ashhar C; Thulaseedharan NK; Suraj KP; Sreejith MK; Sajeeth Kumar KG; Rajendran VR; Remla Beevi A; Sarita RL; Sugunan AP; Arunkumar G; Mourya DT; Murhekar M,"BACKGROUND: An outbreak of Nipah virus (NiV) disease occurred in the Kozhikode district of Kerala State in India in May 2018. Several cases were treated at the emergency medicine department (ED) of the Government Medical College, Kozhikode (GMCK). The clinical manifestations and outcome of these cases are described. METHODS: The study included 12 cases treated in the ED of GMCK. Detailed clinical examination, laboratory investigations, and molecular testing for etiological diagnosis were performed. RESULTS: The median age of the patients was 30 years and the male to female ratio was 1.4:1.0. All the cases except the index case contracted the infection from hospitals. The median incubation period was 10 days, and the case fatality ratio was 83.3%. Ten (83.3%) patients had encephalitis and 9 out of 11 patients whose chest X-rays were obtained had bilateral infiltrates. Three patients had bradycardia and intractable hypotension requiring inotropes. Encephalitis, acute respiratory distress syndrome, and myocarditis were the clinical prototypes, but there were large overlaps between these. Ribavirin therapy was given to a subset of the patients. Although there was a 20% reduction in NiV encephalitis cases treated with the drug, the difference was not statistically significant. The outbreak ended soon after the introduction of total isolation of patients and barrier nursing. CONCLUSION: The outbreak of NiV disease in Kozhikode in May 2018 presented as encephalitis, acute respiratory distress and myocarditis or combinations of these. The CFR was high. Ribavirin therapy was tried but no evidence for its benefit could be obtained.",2020,Jun,Clin Infect Dis,71,1,152-157,,10.1093/cid/ciz789,31627214,#3057,Chandni 2020,"",""
The genetic diversity of Nipah virus across spatial scales.,Cortes-Azuero O; Lefrancq N; Nikolay B; McKee C; Cappelle J; Hul V; Ou TP; Hoem T; Lemey P; Rahman MZ; Islam A; Gurley ES; Duong V; Salje H,"BACKGROUND: Nipah virus (NiV), a highly lethal virus in humans, circulates in Pteropus bats throughout South and Southeast Asia. Difficulty in obtaining viral genomes from bats means we have a poor understanding of NiV diversity. METHODS: We develop phylogenetic approaches applied to the most comprehensive collection of genomes to date (N=257, 175 from bats, 73 from humans) from six countries over 22 years (1999-2020). We divide the four major NiV sublineages into 15 genetic clusters. Using Approximate Bayesian Computation fit to a spatial signature of viral diversity, we estimate the presence and the average size of genetic clusters per area. RESULTS: We find that, within any bat roost, there are an average of 2.4 co-circulating genetic clusters, rising to 5.5 clusters at areas of 1500-2000km2. We estimate that each genetic cluster occupies an average area of 1.3million km2 (95%CI: 0.6-2.3 million), with 14 clusters in an area of 100,000km2 (95%CI: 6-24). In the few sites in Bangladesh and Cambodia where genomic surveillance has been concentrated, we estimate that most clusters have been identified, but only ∼15% of overall NiV diversity has been uncovered. CONCLUSION: Our findings are consistent with entrenched co-circulation of distinct lineages, even within roosts, coupled with slow migration over larger spatial scales.",2024,Apr,J Infect Dis,,,,,10.1093/infdis/jiae221,38682164,#3058,Cortes-Azuero 2024,Tristan Naidoo (2024-11-19 00:47:53)(Select): Sub rate; ,""
Using healthcare-seeking behaviour to estimate the number of Nipah outbreaks missed by hospital-based surveillance in Bangladesh.,Hegde ST; Salje H; Sazzad HMS; Hossain MJ; Rahman M; Daszak P; Klena JD; Nichol ST; Luby SP; Gurley ES,"BACKGROUND: Understanding the true burden of emergent diseases is critical for assessing public-health impact. However, surveillance often relies on hospital systems that only capture a minority of cases. We use the example of Nipah-virus infection in Bangladesh, which has a high case-fatality ratio and frequent person-to-person transmission, to demonstrate how healthcare-seeking data can estimate true burden. METHODS: We fit logistic-regression models to data from a population-based, healthcare-seeking study of encephalitis cases to characterize the impact of distance and mortality on attending one of three surveillance hospital sites. The resulting estimates of detection probabilities, as a function of distance and outcome, are applied to all observed Nipah outbreaks between 2007 and 2014 to estimate the true burden. RESULTS: The probability of attending a surveillance hospital fell from 82% for people with fatal encephalitis living 10 km away from a surveillance hospital to 54% at 50 km away. The odds of attending a surveillance hospital are 3.2 (95% confidence interval: 1.6, 6.6) times greater for patients who eventually died (i.e. who were more severely ill) compared with those who survived. Using these probabilities, we estimated that 119 Nipah outbreaks (95% confidence interval: 103, 140)-an average of 15 outbreaks per Nipah season-occurred during 2007-14; 62 (52%) were detected. CONCLUSIONS: Our findings suggest hospital-based surveillance missed nearly half of all Nipah outbreaks. This analytical method allowed us to estimate the underlying burden of disease, which is important for emerging diseases where healthcare access may be limited.",2019,Aug,Int J Epidemiol,48,4,1219-1227,,10.1093/ije/dyz057,30977803,#3062,Hegde 2019,"",""
"Nipah Virus Infection in Kozhikode, Kerala, South India, in 2018: Epidemiology of an Outbreak of an Emerging Disease.",Thomas B; Chandran P; Lilabi MP; George B; Sivakumar CP; Jayadev VK; Bindu V; Rajasi RS; Vijayan B; Mohandas A; Hafeez N,"BACKGROUND: An outbreak of the rare and highly pathogenic Nipah virus infection occurred in Kozhikode, Kerala, India, during May 2018. METHODOLOGY: Outbreak control activities included laboratory case confirmation and isolation. Contact surveillance was initiated and close contacts were home quarantined for the maximum incubation period of the disease. Field visits and verbal autopsy of the deaths were done to elicit the details of exposure. RESULTS: Of the 18 confirmed cases, 16 succumbed (case fatality rate, 88.8%). The mean incubation period was 9 days. The transmission was person to person wherein the primary case served as a point source for 15 other cases including 2 health-care workers. The mean age of the affected cases was 41 years with male preponderance. More than 2600 contacts were under surveillance. The outbreak was contained within 3 weeks and declared closed by July the same year. CONCLUSION: Early detection of the outbreak and prompt isolation of cases along with strengthening of infection control practices and barrier nursing helped in containing the outbreak.",2019,Oct-Dec,Indian J Community Med,44,4,383-387,,10.4103/ijcm.IJCM_198_19,31802805,#3065,Thomas 2019,"",""
The Ecology of Nipah Virus in Bangladesh: A Nexus of Land-Use Change and Opportunistic Feeding Behavior in Bats.,McKee CD; Islam A; Luby SP; Salje H; Hudson PJ; Plowright RK; Gurley ES,"Nipah virus is a bat-borne paramyxovirus that produces yearly outbreaks of fatal encephalitis in Bangladesh. Understanding the ecological conditions that lead to spillover from bats to humans can assist in designing effective interventions. To investigate the current and historical processes that drive Nipah spillover in Bangladesh, we analyzed the relationship among spillover events and climatic conditions, the spatial distribution and size of Pteropus medius roosts, and patterns of land-use change in Bangladesh over the last 300 years. We found that 53% of annual variation in winter spillovers is explained by winter temperature, which may affect bat behavior, physiology, and human risk behaviors. We infer from changes in forest cover that a progressive shift in bat roosting behavior occurred over hundreds of years, producing the current system where a majority of P. medius populations are small (median of 150 bats), occupy roost sites for 10 years or more, live in areas of high human population density, and opportunistically feed on cultivated food resources-conditions that promote viral spillover. Without interventions, continuing anthropogenic pressure on bat populations similar to what has occurred in Bangladesh could result in more regular spillovers of other bat viruses, including Hendra and Ebola viruses.",2021,Jan,Viruses,13,2,,,10.3390/v13020169,33498685,#3068,McKee 2021,Christian Morgenstern (2024-10-17 06:22:08)(Screen): risk factor?; ,""
Exploring the influence of burial and cremation practices on Nipah virus transmission: a SIRD model analysis,"Kubra, KT; Gulshan, S; Ali, R","This paper proposes a SIRD model to investigate the impact of burial or cremation practices on the transmission dynamics of the Nipah virus, which is highly fatal and can spread rapidly through communities via contact with deceased bodies. An analysis is conducted to determine the stability of the disease-free and endemic equilibria and to compute the reproduction number. A comprehensive sensitivity analysis of the reproduction number is conducted to assess the effectiveness of different control measures. It has been found that avoiding unnecessary contact with infected or buried/cremated bodies can greatly reduce the transmission of viruses. Aditionally, an investigation is conducted on the stability conditions of Hyers-Ulam and Hyers-Ulam-Rassias, discuss existence and uniqueness conditions, and verify theoretical findings via MATLAB-based numerical simulations presenting graphical representations of the data. This analysis provides insightful information about potential treatments to slow the spread of the Nipah virus.",2024,,MODELING EARTH SYSTEMS AND ENVIRONMENT,10,4,4759-4786,WOS:001226679200002,10.1007/s40808-024-02024-0,,#3357,Kubra 2024,"",""
A Mathematical Model for Nipah Virus Infection,"Zewdie, AD; Gakkhar, S","It has been reported that unprotected contact with the dead bodies of infected individuals is a plausible way of Nipah virus transmission. An SIRD model is proposed in this paper to investigate the impact of unprotected contact with dead bodies of infected individuals before burial or cremation and their disposal rate on the dynamics of Nipah virus infection. The model is analyzed, and the reproduction number is computed. It is established that the disease-free state is globally asymptotically stable when the reproduction number is less than unity and unstable if it is greater than unity. By using the central manifold theory, we observe that the endemic equilibrium is locally stable near to unity. It is concluded that minimizing unsafe contact with the infected dead body and/or burial or cremation as fast as possible contributes positively. Further, the numerical simulations for the given choice of data and initial conditions illustrate that the endemic state is stable and the disease persists in the community when the reproduction number is greater than one.",2020,,JOURNAL OF APPLIED MATHEMATICS,2020,,,WOS:001023006800001,10.1155/2020/6050834,,#3359,Zewdie 2020,"",""
The dynamics of Nipah virus (NiV) transmission and analy- sis,"Ozioko, AL; Aja, RO; Abang, SIS; Atokolo, W; Ahman, QO; Mbah, GCE","We propose a model for NiV infection mechanisms from pigs to humans and humans to humans, with a focus on the impact of a combination vaccine, and condom as a control measure. In a biologically realistic setting, we derived the basic characteristics of our suggested model, such as boundedness and positivity. We determined the basic reproduction number to investigate both the local and global behavior of the model's various equilibria. When the reproductive number is less than one, the disease-free state of Nipah virus is locally asymptotically stable, but unstable when it is higher than one. We established that the endemic equilibrium is locally asymptotically stable near unity using central manifold theory. Nipah virus free equilibrium is stable on the global stability scale, and endemic equilibrium is asymptotically stable. We determine that vaccination and condom are effective ways for reducing Nipah virus spread. In addition, Nipah virus carriers (asymptomatic) are identified as the most infectious individuals who should be targeted by the model. Finally, numerical simulations are used to verify the efficacy of the provided findings.",2023,,JOURNAL OF MATHEMATICS AND COMPUTER SCIENCE-JMCS,31,4,367-391,WOS:000995876000001,10.22436/jmcs.031.04.03,,#3361,Ozioko 2023,"",""
Human-animal Nipah virus transmission: model analysis and optimal control,"Zewdie, AD; Gakkhar, S; Gupta, SK","A three-species nonlinear deterministic transmission model is proposed and analyzed for the Nipah virus. The system exhibits four equilibrium points, namely disease free, bat-animal disease free, bat disease free and endemic. The reproduction number is computed and the stability of each equilibrium point is discussed. Then the model is extended to study the optimal control. Three control strategies are considered: culling animals, using protecting gears (like glove, clothing, bamboo skirt, etc.) and isolating infectious individuals. The existence and characterization of optimal control are discussed. The numerical simulations are carried out for the choice of parametric values and initial conditions. These illustrate that the control strategies significantly reduce a load of infection in the animal and human populations. Remarkably, the effective use of protecting gears not only provides protection from the infection but also helpful in the elimination of the disease in the human population.",2023,,INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL,11,4,1974-1994,WOS:001103808500007,10.1007/s40435-022-01089-y,,#3363,Zewdie 2023,"",""
Mathematical modeling and analysis for controlling the spread of infectious diseases,"Tyagi, S; Martha, SC; Abbas, S; Debbouche, A","In this work, we present and discuss the approaches, that are used for modeling and surveillance of dynamics of infectious diseases by considering the early stage asymptomatic and later stage symptomatic infections. We highlight the conceptual ideas and mathematical tools needed for such infectious disease modeling. We compute the basic reproduction number of the proposed model and investigate the qualitative behaviours of the infectious disease model such as, local and global stability of equilibria for the non-delayed as well as delayed system. At the end, we perform numerical simulations to validate the effectiveness of the derived results. ? 2021 Elsevier Ltd. All rights reserved.",2021,,CHAOS SOLITONS & FRACTALS,144,,,WOS:000632411100011,10.1016/j.chaos.2021.110707,,#3371,Tyagi 2021,Tristan Naidoo (2024-10-16 23:33:45)(Screen): Needs FTR to determine if its Nipah specific  ; ,""
Stability analysis and system properties of Nipah virus transmission: A fractional calculus case study,"Baleanu, D; Shekari, P; Torkzadeh, L; Ranjbar, H; Jajarmi, A; Nouri, K","In this paper, we establish a Caputo-type fractional model to study the Nipah virus transmission dynamics. The model describes the impact of unsafe contact with an infectious corpse as a possible way to transmit this virus. The corresponding area to the system properties, including the positivity and boundedness of the solution, is explored by using the generalized fractional mean value theorem. Also, we investigate sufficient conditions for the local and global stability of the disease-free and the endemic steady-states based on the basic reproduction number R0. To show these important stability features, we employ fractional Routh-Hurwitz criterion and LaSalle's invariability principle. For the implementation of this epidemic model, we also use the Adams-Bashforth-Moulton numerical method in a fractional sense. Finally, in addition to compare the fractional and classical results, as one of the main goals of this research, we demonstrate the usefulness of minimal unsafe touch with the infectious corpse. Simulation and comparative results verify the theoretical discussions.",2023,,CHAOS SOLITONS & FRACTALS,166,,,WOS:000993797200001,10.1016/j.chaos.2022.112990,,#3373,Baleanu 2023,"",""
Examining Dynamics of Emerging Nipah Viral Infection with Direct and Indirect Transmission Patterns: A Simulation-Based Analysis via Fractional and Fractal-Fractional Derivatives,"Li, S; Ullah, S; Alqahtani, SA; Asamoah, JKK; Gurefe, Y","In this study, we examine the transmission dynamics of global Nipah virus infection under direct (human-to-human) and indirect (contaminated foods-to-human) transmission routes via the Caputo fractional and fractional-fractal modeling approaches. The model is vigorously analyzed both theoretically and numerically. The possible equilibrium points of the system and their existence are investigated based on the reproduction number. The model exhibits three equilibrium points, namely, infection-free, infected flying foxes free, and endemic. Furthermore, novel numerical schemes are derived for the models in fractional and fractal-fractional cases. Finally, an extensive simulation is conducted to validate the theoretical results and provide an impact of the model on the disease incidence. We believe that this study will help to incorporate such mathematical techniques to examine the complex dynamics and control the spread of such infectious diseases.",2023,,JOURNAL OF MATHEMATICS,2023,,,WOS:001084033400003,10.1155/2023/6643772,,#3374,Li 2023,"",""
A compartmental model for the spread of Nipah virus in a periodic environment,"Barua, S; Ibrahim, MA; Dénes, A","Nipah virus (NiV) is a zoonotic virus that causes outbreaks of fatal disease in humans. Fruit bat, also known as the flying fox, is the animal host reservoir for NiV. It is known to cause illness in pigs, which are considered an intermediate host. In this paper, we propose a model for NiV disease transmission taking into account all human-to-host animal transmission as well as the loss of immunity in those who have recovered. Furthermore, we take into consideration seasonal effects such as varying transmission rate from bats and birth rate of bats. We studied the existence and uniqueness of a disease -free omega-periodic solution and later deals with the basic reproduction number and stability analysis. To support the analytical results we provide numerical examples and assess the effect of parameter changes on disease dynamics, which might help to understand how to avoid a yearly periodic recurrence of the disease.",2023,,AIMS MATHEMATICS,8,12,29604-29627,WOS:001133603500115,10.3934/math.20231516,,#3379,Barua 2023,"",""
A MATHEMATICAL MODEL FOR NIPAH VIRUS DISEASE BY USING PIECEWISE FRACTIONAL ORDER CAPUTO DERIVATIVE,"Shah, KM; Khan, A; Abdalla, B; Abdeljawad, T; Khan, KA","In the Caputo sense, the goal of this paper is to develop a thorough analysis for the Nipah virus sickness under piecewise equations with fractional order derivative. Here, we take into account a SIRD-type model with classes for susceptible, infected, recovered, and dead individuals. We evaluate the solution's viability using the notion of fractional order derivative. The fundamental reproduction number is also calculated. Here, we offer sufficient requirements for the Ulam-Hyers (UH) stability and the existence theory of the solution. We also give some numerical simulations for several compartments using the RK4 approach. In order to deepen our investigation, we therefore investigate the aforementioned disease's transmission process using some novel fractional calculus notions.",2024,,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,32,02,,WOS:001144062400004,10.1142/S0218348X24400139,,#3382,Shah 2024,"",""
A MATHEMATICAL MODEL TO PROVIDE INSIGHTS INTO FOOD-BORNE NIPAH VIRUS INFECTIOUS DISEASE TRANSMISSION DYNAMICS,"Abang, SSI; Iyke-ofoedu, MI; Ozioko, AL; Nwosu, CN; Omeh, C; Amasiatu, IS; Mbah, GCE","This study extends the SEIR model to 16 compartments (S-H, S-V, S-HW, E-H, E-HT, I-H, I-HT, I-Hi, R-H, S-P, S-PV, I-P, I-PT, R-P, S-B, I-B) to analyze Nipah virus (NiV) transmission dynamics. We computed the basic reproductive number (R-0) and investigated local stability of the disease-free equilibrium using the Jacobian Matrix, and diseaseendemic stability with the center manifold theorem. Global stability was assessed using LaSalle's Invariant Principle, and sensitivity analysis was performed. Our results indicated that disease-free and endemic equilibria are locally and globally stable, with the system showing a forward bifurcation. Simulations enhanced understanding of NiV's long-term behavior. We established a critical threshold of 12.2374 for the rate of consumption of NiVcontaminated food items (Lambda(HW)), beyond which the disease could escalate uncontrollably. Graphical simulations suggested that, in a food community of 1,558,025 individuals, the number consuming contaminated food should not exceed 12 to prevent virus spread. These insights can guide policymakers in developing targeted NiV control strategies. Sensitivity analysis identified key parameters affecting R-0: the exposed rate (beta(1)) and the modification parameter for decreased human infectiousness (n(0)), both with significant economic implications. By focusing on these parameters, developing countries can implement initiatives to mitigate NiV spread and its economic impact. Our model offers a foundation for targeted intervention strategies.",2024,,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,,,,WOS:001320279700005,10.28919/cmbn/8696,,#3402,Abang 2024,"",""
Computer modeling: A gateway to novel advancements in solving real-life problems,"Raza, A; Rafiq, M; Ahmed, N; Iqbal, MS; Rezapour, S; Inc, M","The design of computer modelling has a vital role in the recent development of scientific literature. Creation, modification, analysis, and optimization of structures are uses of computer methods. The most significant benefit is communication through documentation, quality of design, designing electronic systems, and many more. According to the World Health Organization report, there are two types of transmission of Nipah virus infection, such as from animals to humans or humans to humans. More than 40% to 75% rate of death due to Nipah virus is estimated. The most infected regions are Thailand, the Philippines, Indonesia, and Cambodia. The susceptible (S), exposed (E), infected (I), and recovered (R) are compartments of the Nipah virus model. The bilinear incidence rates are considered during its modelling. Positivity, boundedness, equilibria, reproduction number, and stability results are part of the qualitative analysis of the model. After that, the design of the computer methods on the model predicts the efficiency, visualization, and results of the Nipah virus disease. The existing techniques, like Euler and Runge Kutta, could be more stable. They are highly time-dependent methods. But our proposed way, i.e., NSFD, is always positive, bounded, regular and consistent at any time step size. In conclusion, the nonstandard finite difference method (NSFD) restores a dynamical property such as positivity, boundedness, consistency, and stability. In the end, computing techniques are presented to support the qualitative analysis of the model.",2024,,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,95,,,WOS:001243988500001,10.1016/j.bspc.2024.106414,,#3410,Raza 2024,"",""
Modelling of transmission dynamics of Nipah virus (Niv): A fractional order Approach,"Agarwal, P; Singh, R","This work contains a mathematical model able to portray the transmission of Nipah virus within a targeted population. We argued that, the model with classical differential provide a description based on the Markovian process where the evolution equation is memory-less which of course is not in line with the real world situation. In order to include introduce into mathematical model the effect of waiting distribution able to capture the exponential and power which are natural law follow by several physical problem, we replaced the local time differential operator with a differential operator with the Mittag-Leffler function. We presented in detail the study disease free equilibrium and reproduction number. Some interesting theorems were suggested and proven. The model was solved numerical via a newly established numerical method. (C) 2020 Published by Elsevier B.V.",2020,,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,547,,,WOS:000528206900023,10.1016/j.physa.2020.124243,,#3411,Agarwal 2020,"",""
Exploring the dynamical bifurcation and stability analysis of Nipah virus; novel perspectives utilizing fractional calculus,"Ramzan, S; Rashid, S; Shah, MA; Elagan, SK","A zoonotic virus called the Nipah virus (NV) can create deadly illness epidemics in humans. The animal host repository for NV is the fruit bat, sometimes referred to as the flying fox. It has been documented to infect pigs, which are regarded as intermediary carriers. Scientists' interest in infectious disease modeling has surged because non-integer-order derivatives work so well. In this work, we present a model of NV infection propagation that accounts for both the disappearance of antibodies in rehabilitated people and all human-to-host animal propagation. Taking into consideration the fractal-fractional operator in the generalized Mittag-Leffler kernel sense, we contemplated the numerical solutions for the proposed model via the Lagrange interpolation polynomial technique. Several qualitative aspects of the NV model, such as positive bounded solution, disease-free equilibrium, and the basic reproduction number (R0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${R}_{0}$$\end{document}), are presented with a graphic illustration to demonstrate the effectiveness of the system parameters. To establish efficient time-dependent oversight, sensitive evaluation of the framework's components is also carried out. Besides that, the local and global stability at the disease-free equilibrium point is provided in detail. Meanwhile, a fractional bifurcation framework is developed according to the sensitivity indices, and numerical simulations are used to identify the most efficient prevention approach. The mathematical mechanism of the NV model is characterized by the Atangana-Baleanu fractal-fractional differential operators, which are newly described as fractal-fractional differential operators.Three approaches were taken to examine the numerical behavior of the NV: (i) varying both the fractal dimension (eta\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\eta$$\end{document}) and the fractional order (omega\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\omega$$\end{document}); (ii) varying omega\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\omega$$\end{document} while maintaining eta\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\eta$$\end{document} constant; and (iii) varying eta\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\eta$$\end{document} while maintaining alpha\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\alpha$$\end{document} constant. We analyzed simulation findings and visualizations of the above system using Python for numerical modeling, determining that the newly created Atangana-Baleanu fractal-fractional differential operators yield superior outcomes in comparison to the classical framework.",2024,,MODELING EARTH SYSTEMS AND ENVIRONMENT,10,4,5427-5448,WOS:001263438800001,10.1007/s40808-024-02071-7,,#3446,Ramzan 2024,"",""
Transmission of Nipah virus dynamics under Caputo fractional derivative,"Evirgen, F","The purpose of this paper is to bring a numerical model of the Nipah virus (NiV) into focus for tracing the fractional order derivative's influence on the manner in which the model responds. This will enable us to evaluate the fractional derivative operator's influence on the NiV disease spread in terms of memory and heredity effects. To the best of the authors' knowledge, this is the first study which utilizes the fractional derivative in the Caputo sense to investigate the nature of the Nipah virus. For this purpose, we compute the system's solution space and equilibrium solutions, and examine the local and global stability of those solutions. By use of the fixed point theory, it is evinced that the relevant version solutions satisfy the existence-uniqueness analysis. In an effort to envision the validity of the hypothetical outcomes and supervise the arbitrary-order derivative's influence, we lastly conduct numeric productions involving the model and present the relevant graphs. (C) 2022 Elsevier B.V. All rights reserved.",2023,,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,418,,,WOS:000848644900004,10.1016/j.cam.2022.114654,,#3489,Evirgen 2023,"",""
MATHEMATICAL MODELLING APPROACH FOR THE STUDY OF NIPAH VIRUS DISEASE TRANSMISSION DYNAMICS,"Scott, ASI; Luke, OA; William, A; Emeka, OK; Adebisi, AR; Nnamani, TN; Ezike, MGC","Ever since the first outbreak of Nipah virus disease, which occurred both in human and non-human primates in developing countries in Far East Asian between 1998 and 1999 which led to a majority of deaths, with the effect of such occurrence still witnessed up till date. We studied the spread of Nipah virus and obtained a system of equations comprising of ten equations which effectively described the transmission of Nipah Virus in a population where control measures were incorporated and two major sources of contacting the disease which are coming in contact with contaminated foods by infected bats from crop farming and pig farming, these were also incorporated. We investigated the local stability of the disease-free equilibrium using the Jacobian Matrix approach and the disease- endemic stability using the center manifold theorem. We also investigated the global stability of the equilibrium points using the LaSalle's invariant principle. The results showed that the diseasefree and endemic equilibrium where both locally and globally Stable and we established a population immunity threshold for our model, with available data from the recent outbreak. Numerical simulations were carried out and our graphs show that vaccination and treatment are best for the infectious population to avoid further disease spread in the population and have quicker and better recovery.",2023,,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCE,,,,WOS:001203518000078,10.28919/cmbn/8056,,#3496,Scott 2023,"",""
